年龄段,其他年龄填写,行业/专业,学生专业方向,水墨喜好程度,AIGC了解程度,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,系列A最喜欢,系列B最喜欢,综合排序,受欢迎元素,图案应用建议
20-25岁,,艺术/设计类,,非常喜欢,完全不了解,5,3,4,3,3,1,3,2,3,3,3,3,2,5,1,4,3,3,3,5,2,3,5,4,3,5,4,2,5,4,4,4,3,4,4,4,5,5,5,5,2,5,2,4,3,1,5,5,4,3,"A20,A30,A32","B7,B11,B1","A29,A31,B14",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
20-25岁,,其他,,比较喜欢,有所了解,5,5,2,1,4,4,4,3,3,3,1,3,1,3,5,3,5,2,3,3,4,3,4,1,5,4,4,3,5,5,4,5,2,4,4,4,2,5,4,4,3,5,4,5,4,3,5,2,5,5,"A12,A3,A32,A2","B14,B2","B7,A31,A26,B1",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,学生,数字媒体,比较喜欢,听说过，不太了解,5,4,3,2,5,3,2,3,5,4,3,1,1,2,3,3,3,4,1,2,3,2,1,3,4,5,4,3,5,4,5,2,2,4,5,5,4,5,3,5,3,5,3,4,4,2,5,3,5,3,"A9,A16,A8,A33,A34","B8,B2,B4","A26,A34,B12,B7,B1",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
26-30岁,,文化/创意产业类,,比较喜欢,完全不了解,5,2,5,2,3,2,4,2,2,5,4,2,4,5,1,4,3,3,3,3,1,4,1,3,2,5,3,3,5,5,5,4,1,4,3,5,1,4,2,5,3,5,1,4,3,3,5,2,5,3,"A7,A12,A14","B8,B7,B5","A1,B3,B5,A34,A26",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
26-30岁,,时尚/服装类,,一般,听说过，不太了解,4,3,2,3,3,4,2,1,2,2,3,2,4,2,4,3,5,5,4,4,3,4,5,1,3,4,3,3,5,5,5,3,4,4,3,5,2,4,3,5,3,4,3,5,2,2,4,1,4,1,"A16,A18,A10,A24,A31","B14,B5,B1","B7,A1,B9,B12,A30",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
20-25岁,,"新媒体/互联网类,其他",,比较喜欢,完全不了解,5,3,5,3,1,5,4,3,3,3,2,2,3,5,1,4,1,3,3,3,1,3,3,1,2,5,3,2,5,5,4,3,1,4,2,5,4,4,3,5,2,5,4,5,4,3,5,2,5,5,"A24,A8,A35,A16,A29","B1,B7,B5","A26,A30,A31,B12",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
20-25岁,,教育/科研类,,一般,非常了解并关注,5,3,2,1,4,1,2,3,3,3,3,4,5,2,4,5,3,3,2,3,3,4,5,1,1,4,4,2,5,4,5,2,4,5,5,5,2,4,5,5,1,5,3,4,2,4,4,2,4,2,"A27,A3,A18,A6","B8,B12,B7","B12,B1,A26,A29",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,学生,平面设计,比较喜欢,完全不了解,4,3,3,3,4,2,4,4,4,1,1,3,4,3,2,1,3,4,2,1,3,3,4,4,3,4,3,5,5,5,4,4,4,5,2,5,3,4,2,5,3,4,4,5,4,2,5,1,4,3,"A21,A30,A2,A4","B11,B8","A29,A1,B1,A30,A31",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
31-35岁,,"艺术/设计类,新媒体/互联网类",,比较喜欢,有所了解,5,5,2,2,2,4,1,2,3,2,1,3,2,3,5,2,3,5,4,3,3,1,4,5,3,5,2,3,5,5,4,3,3,4,2,4,4,5,4,4,5,5,3,4,2,5,4,3,4,4,"A34,A9,A27","B8,B15,B12","A31,A29,B9",抽象构图结合现代感，符合年轻人口味,搭配简洁剪裁，突出图案主体性
20-25岁,,文化/创意产业类,,比较喜欢,有所了解,5,4,4,4,2,4,2,2,5,4,3,4,5,3,3,4,2,2,4,3,2,3,3,5,3,5,5,5,5,5,5,2,2,5,3,5,3,4,1,5,2,5,3,5,3,3,5,5,5,3,"A27,A24,A12","B15,B7,B10","A1,B14,B5",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,时尚/服装类,,非常喜欢,有所了解,4,4,3,1,4,3,3,3,2,3,3,3,4,3,2,3,4,1,1,3,3,2,4,3,5,4,4,1,5,5,4,4,1,5,2,5,1,5,4,5,2,5,1,5,4,3,5,1,5,2,"A17,A11,A4","B10,B7,B15","A29,A26,A34,B14",色彩淡雅、笔触灵动，意境深远,建议用于男装外套局部图案，如胸口或袖口
其他,47岁,金融/商业类,,不太喜欢,有所了解,5,3,4,4,1,3,1,5,2,3,4,2,3,3,2,4,2,2,3,3,5,4,3,3,3,4,3,4,4,4,5,1,4,5,3,4,5,4,4,4,4,5,2,5,3,1,4,3,5,4,"A30,A32,A8,A15","B4,B14","A31,B12,B3,B1",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
26-30岁,,其他,,比较喜欢,有所了解,5,1,3,4,3,1,1,3,5,3,3,3,2,1,2,3,2,1,4,4,5,3,1,4,2,5,4,4,5,5,5,2,5,4,5,4,2,5,1,5,2,5,3,5,3,1,5,2,4,3,"A14,A19,A13","B3,B7,B13","A1,A31,B12",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
20-25岁,,学生,艺术史,非常喜欢,非常了解并关注,5,1,5,2,2,3,1,3,4,1,4,3,2,2,5,2,4,3,1,3,4,4,3,4,2,5,4,4,5,5,5,3,3,5,2,5,2,4,3,5,3,5,2,5,2,2,5,3,4,3,"A30,A6,A1,A31","B14,B6","B1,B9,A30,B14,B7",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
